Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,pfr_id
355,Cris Carter,MIA,WR,37,5,1,0,0,0,0,0,0,0,,0,17,8,66,8.25,1,1,1,1,,,11,18.6,19.6,14.6,,134,,CartCr00
356,Bryan Johnson,WAS,FB,24,16,12,0,0,0,0,0,1,0,0.00,0,19,15,114,7.60,0,0,,0,,,11,26.4,29.4,18.9,,108,,JohnBr01
357,John Jones,BAL,TE,27,15,4,0,0,0,0,0,0,0,,0,11,6,47,7.83,1,0,,1,,,11,16.7,16.7,13.7,,60,,JoneJo00
358,Freddie Mitchell,PHI,WR,24,16,1,0,1,0,0,0,0,0,,0,24,12,105,8.75,0,1,,0,,,11,22.5,25.5,16.5,,135,,MitcFr00
359,Marcellus Rivers,NYG,TE,24,16,0,0,0,0,0,0,0,0,,0,2,2,25,12.50,1,0,,1,1,,11,12.5,12.5,11.5,,61,,RiveMa00
360,Robert Thomas,DAL,FB,28,15,9,0,0,0,0,0,10,31,3.10,0,16,12,80,6.67,0,0,,0,,,11,23.1,23.1,17.1,,109,,ThomRo02
361,Damien Anderson,ARI,RB,23,10,1,0,0,0,0,0,24,65,2.71,0,7,3,36,12.00,0,0,,0,,,10,13.1,13.1,11.6,,112,,AndeDa00
362,Rudi Johnson,CIN,RB,23,7,0,0,0,0,0,0,17,67,3.94,0,10,6,34,5.67,0,0,,0,,,10,16.1,16.1,13.1,,113,,JohnRu00
363,Cecil Martin,PHI,FB,27,16,9,0,0,0,0,0,1,-4,-4.00,0,22,15,126,8.40,0,1,1,0,,,10,25.2,29.2,17.7,,111,,MartCe00
364,Jermaine Wiggins,2TM,TE,27,14,1,0,0,0,0,0,0,0,,0,15,10,62,6.20,1,1,1,1,,,10,20.2,21.2,15.2,,62,,WiggJe00
365,James Williams,SEA,WR,24,13,2,0,0,0,0,0,0,0,,0,20,9,99,11.00,0,0,,0,,,10,18.9,18.9,14.4,,136,,WillJa01
366,Doug Chapman,MIN,RB,25,6,0,0,0,0,0,0,12,89,7.42,0,1,0,0,,0,1,,0,,,9,8.9,8.9,8.9,,115,,ChapDo00
367,Daryl Jones,NYG,WR,23,13,6,0,0,0,0,0,1,4,4.00,0,16,8,90,11.25,0,1,,0,,,9,17.4,17.4,13.4,,137,,JoneDa02
368,Randy Jordan,OAK,RB,32,14,0,0,0,0,0,0,3,14,4.67,1,4,2,19,9.50,0,0,,1,,,9,11.3,11.3,10.3,,114,,JordRa00
369,David Martin,GNB,TE,23,8,2,0,0,0,0,0,0,0,,0,11,8,33,4.13,1,0,,1,,,9,17.3,17.3,13.3,,63,,MartDa00
370,Doug Pederson,GNB,QB,34,16,0,19,28,134,1,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,9,9.3,9.3,9.3,,55,,PedeDo00
371,Walter Rasby,WAS,TE,30,13,9,0,0,0,0,0,0,0,,0,13,9,85,9.44,0,0,,0,,,9,17.5,17.5,13.0,,64,,RasbWa00
372,Todd Collins,KAN,QB,31,3,0,5,6,73,1,0,1,7,7.00,0,0,0,0,,0,0,,0,,,8,7.6,7.6,7.6,,57,,CollTo00
373,Eddie Drummond,DET,WR,22,9,0,0,0,0,0,0,4,38,9.50,0,3,2,-3,-1.50,0,2,1,1,,,8,9.5,10.5,8.5,,138,,DrumEd00
374,Omar Easy,KAN,FB,25,7,0,0,0,0,0,0,0,0,,0,5,3,23,7.67,1,0,,1,,,8,11.3,11.3,9.8,,116,,EasyOm00
375,Randy Fasani,CAR,QB,24,4,1,15,44,171,0,4,18,95,5.28,0,0,0,0,,0,2,,0,,,8,8.3,12.3,12.3,,56,,FasaRa00
376,Hunter Goodwin,MIN,TE,30,16,6,0,0,0,0,0,0,0,,0,6,4,20,5.00,1,0,,1,,,8,12.0,12.0,10.0,,66,,GoodHu00
377,Ryan Hannam,SEA,TE,22,15,0,0,0,0,0,0,0,0,,0,1,1,16,16.00,1,0,,1,,,8,8.6,8.6,8.1,,69,,HannRy00
378,Shad Meier,TEN,TE,24,12,0,0,0,0,0,0,0,0,,0,4,1,17,17.00,1,0,,1,,,8,8.7,8.7,8.2,,67,,MeieSh00
379,Mike Roberg,IND,TE,25,12,1,0,0,0,0,0,0,0,,0,4,2,17,8.50,1,0,,1,,,8,9.7,9.7,8.7,,68,,RobeMi00
380,Darnell Sanders,CLE,TE,23,10,3,0,0,0,0,0,0,0,,0,5,3,23,7.67,1,0,,1,,,8,11.3,11.3,9.8,,65,,SandDa00
381,Bill Baber,KAN,TE,23,12,2,0,0,0,0,0,0,0,,0,3,2,10,5.00,1,0,,1,,,7,9.0,9.0,8.0,,70,,BabeBi00
382,Tim Carter,NYG,WR,23,5,0,0,0,0,0,0,3,28,9.33,0,3,2,37,18.50,0,1,,0,,,7,8.5,8.5,7.5,,140,,CartTi00
383,Joe Davenport,IND,TE,26,10,7,0,0,0,0,0,0,0,,0,15,8,70,8.75,0,0,,0,,,7,15.0,15.0,11.0,,71,,DaveJo00
384,Heath Evans,SEA,FB,24,16,1,0,0,0,0,0,17,53,3.12,0,12,8,41,5.13,0,1,1,0,,,7,15.4,16.4,11.4,,117,,EvanHe00
385,Ahmad Merritt,CHI,WR,25,12,3,0,0,0,0,0,1,5,5.00,0,26,14,100,7.14,0,3,2,0,,,7,20.5,25.5,13.5,,141,,MerrAh00
386,Terrence Wilkins,STL,WR,27,13,0,0,0,0,0,0,6,56,9.33,0,6,5,31,6.20,0,2,1,0,,,7,11.7,12.7,9.2,,139,,WilkTe00
387,Trung Canidate,STL,RB,25,16,1,0,0,0,0,0,17,48,2.82,0,6,4,31,7.75,0,1,1,0,,,6,9.9,10.9,7.9,,123,,CaniTr00
388,Jesse Chatman,SDG,RB,23,10,0,0,0,0,0,0,6,19,3.17,0,3,3,44,14.67,0,0,,0,,,6,9.3,9.3,7.8,,118,,ChatJe00
389,Rafael Cooper,DET,RB,27,5,0,0,0,0,0,0,12,57,4.75,0,3,1,4,4.00,0,0,,0,,,6,7.1,7.1,6.6,,120,,CoopRa00
390,Verron Haynes,PIT,RB,23,14,0,0,0,0,0,0,10,51,5.10,0,7,3,10,3.33,0,0,,0,,,6,9.1,9.1,7.6,,121,,HaynVe00
391,Arnold Jackson,ARI,WR,25,16,0,0,0,0,0,0,0,0,,0,9,5,42,8.40,1,2,2,1,,,6,11.2,13.2,8.7,,142,,JackAr00
392,James Jackson,CLE,RB,26,16,0,0,0,0,0,0,12,54,4.50,0,6,3,9,3.00,0,0,,0,,,6,9.3,9.3,7.8,,119,,JackJa00
393,Brian Kozlowski,ATL,TE,32,16,2,0,0,0,0,0,0,0,,0,9,6,59,9.83,0,0,,0,,,6,11.9,11.9,8.9,,73,,KozlBr00
394,Charlie Rogers,BUF,RB,26,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,,1,,,6,6.0,6.0,6.0,,122,,RogeCh00
395,Kevin Swayne,NYJ,WR,27,15,0,0,0,0,0,0,0,0,,0,12,5,78,15.60,0,1,1,0,,,6,10.8,11.8,8.3,,143,,SwayKe00
396,Justin Swift,SFO,TE,27,16,4,0,0,0,0,0,0,0,,0,15,10,63,6.30,0,0,,0,,,6,16.3,16.3,11.3,,72,,SwifJu00
397,Fred Baxter,2TM,TE,31,6,3,0,0,0,0,0,0,0,,0,8,5,51,10.20,0,0,,0,,,5,10.1,10.1,7.6,,75,,BaxtFr00
398,Greg Comella,TEN,FB,27,12,7,0,0,0,0,0,1,0,0.00,0,15,10,70,7.00,0,1,1,0,,,5,15.0,16.0,10.0,,126,,ComeGr00
399,James Hodgins,STL,FB,25,9,8,0,0,0,0,0,3,7,2.33,0,10,9,47,5.22,0,0,,0,,,5,14.4,14.4,9.9,,124,,HodgJa00
400,Jabari Holloway,HOU,TE,24,11,7,0,0,0,0,0,0,0,,0,10,7,73,10.43,0,0,1,0,,,5,12.3,13.3,8.8,,74,,HollJa01
401,Sammy Morris,BUF,RB,25,16,0,0,0,0,0,0,2,5,2.50,0,4,3,48,16.00,0,0,,0,,,5,8.3,8.3,6.8,,125,,MorrSa00
402,John Owens,DET,TE,22,15,8,0,0,0,0,0,0,0,,0,15,5,49,9.80,0,0,,0,,,5,9.9,9.9,7.4,,76,,OwenJo00
403,Aaron Shea,CLE,TE,26,7,3,0,0,0,0,0,0,0,,0,8,7,49,7.00,0,0,,0,,,5,11.9,11.9,8.4,,77,,SheaAa00
404,Sean Bennett,NYG,RB,27,7,0,0,0,0,0,0,0,0,,0,6,5,37,7.40,0,0,,0,,,4,8.7,8.7,6.2,,130,,BennSe00
